date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:21	203350/203350	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-10.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-10.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:23	234014/234014	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-11.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-11.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:23	249489/249489	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-12.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-12.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:24	287716/287716	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-13.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-13.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:25	233048/233048	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-14.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-14.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:26	189662/189662	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-15.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-15.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:26	233962/233962	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-16.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-16.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:28	237353/237353	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-17.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-17.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:28	247395/247395	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-18.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/home-18.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:29	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Aug%202024%2016:44:30%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/store.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/store.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
